Category,Sms,cleaned_text,tokens,filtered_tokens,final_text
scam,Tumia namba hii ya voda 0695567435 kutuma hiyo Pesa jina LUKA KIMBANGU,tumia namba hii ya voda kutuma hiyo pesa jina luka kimbangu,"['tumia', 'namba', 'hii', 'ya', 'voda', 'kutuma', 'hiyo', 'pesa', 'jina', 'luka', 'kimbangu']","['tumia', 'namba', 'hii', 'voda', 'kutuma', 'pesa', 'jina', 'luka', 'kimbangu']",tumia namba hii voda kutuma pesa jina luka kimbangu
scam,"We need urgently Need Staff salary 6,000,000TZS. Reach HR team at: wa.me/2550773409724.",we need urgently need staff salary tzs reach hr team at wame,"['we', 'need', 'urgently', 'need', 'staff', 'salary', 'tzs', 'reach', 'hr', 'team', 'at', 'wame']","['we', 'need', 'urgently', 'need', 'staff', 'salary', 'tzs', 'reach', 'hr', 'team', 'at', 'wame']",we need urgently need staff salary tzs reach hr team at wame
scam,MPIGIE MZEE HOSEA MKUMBUKWA WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0781476081,mpigie mzee hosea mkumbukwa wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba,"['mpigie', 'mzee', 'hosea', 'mkumbukwa', 'wa', 'tiba', 'asili', 'mali', 'pete', 'nyota', 'uzazi', 'kupandishwa', 'cheo', 'kazini', 'kuludisha', 'mali', 'iliyopotea', 'namba']","['mpigie', 'mzee', 'hosea', 'mkumbukwa', 'tiba', 'asili', 'mali', 'pete', 'nyota', 'uzazi', 'kupandishwa', 'cheo', 'kazini', 'kuludisha', 'mali', 'iliyopotea', 'namba']",mpigie mzee hosea mkumbukwa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
scam,"Mpigie Mzee MWANAIDI KHAMISI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0654321098",mpigie mzee mwanaidi khamisi kwa tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga,"['mpigie', 'mzee', 'mwanaidi', 'khamisi', 'kwa', 'tiba', 'asili', 'miliki', 'maliutajiri', 'petekazikesimasomo', 'mapenzikilimoufugajibiashara', 'piga']","['mpigie', 'mzee', 'mwanaidi', 'khamisi', 'tiba', 'asili', 'miliki', 'maliutajiri', 'petekazikesimasomo', 'mapenzikilimoufugajibiashara', 'piga']",mpigie mzee mwanaidi khamisi tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,Iyo ela tuma humu kwenye halotel 0781476081 Jina lije ABDALLAH MWANAKU.,iyo ela tuma humu kwenye halotel jina lije abdallah mwanaku,"['iyo', 'ela', 'tuma', 'humu', 'kwenye', 'halotel', 'jina', 'lije', 'abdallah', 'mwanaku']","['iyo', 'ela', 'tuma', 'humu', 'halotel', 'jina', 'lije', 'abdallah', 'mwanaku']",iyo ela tuma humu halotel jina lije abdallah mwanaku
scam,"Congratulations! Your CV has passed. You can get 170,000TZS in a day. for details: wa.me/2550786543210",congratulations your cv has passed you can get tzs in a day for details wame,"['congratulations', 'your', 'cv', 'has', 'passed', 'you', 'can', 'get', 'tzs', 'in', 'a', 'day', 'for', 'details', 'wame']","['congratulations', 'your', 'cv', 'has', 'passed', 'you', 'can', 'get', 'tzs', 'in', 'a', 'day', 'for', 'details', 'wame']",congratulations your cv has passed you can get tzs in a day for details wame
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0716484506,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no,"['mjukuu', 'wangu', 'utafuta', 'ji', 'wako', 'mgumu', 'ela', 'hazikai', 'mkononi', 'pakazinaisha', 'unasota', 'sana', 'mpenzi', 'hamuelewani', 'je', 'utatunza', 'siri', 'nikikusaidia', 'pesa', 'bila', 'mashaliti', 'magumu', 'nipigie', 'nikwelekeze', 'no']","['mjukuu', 'wangu', 'utafuta', 'ji', 'wako', 'mgumu', 'ela', 'hazikai', 'mkononi', 'pakazinaisha', 'unasota', 'mpenzi', 'hamuelewani', 'je', 'utatunza', 'siri', 'nikikusaidia', 'pesa', 'mashaliti', 'magumu', 'nipigie', 'nikwelekeze', 'no']",mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota mpenzi hamuelewani je utatunza siri nikikusaidia pesa mashaliti magumu nipigie nikwelekeze no
trust,Mwenyezi Mungu aendelee kukulinda.,mwenyezi mungu aendelee kukulinda,"['mwenyezi', 'mungu', 'aendelee', 'kukulinda']","['mwenyezi', 'mungu', 'aendelee', 'kukulinda']",mwenyezi mungu aendelee kukulinda
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya HALOTEL. Mbona kimya na siku zinazidi kwenda...?,habari za asubuhi mimi mwenye nyumba wako hii namba yangu ya halotel mbona kimya na siku zinazidi kwenda,"['habari', 'za', 'asubuhi', 'mimi', 'mwenye', 'nyumba', 'wako', 'hii', 'namba', 'yangu', 'ya', 'halotel', 'mbona', 'kimya', 'na', 'siku', 'zinazidi', 'kwenda']","['habari', 'asubuhi', 'nyumba', 'wako', 'hii', 'namba', 'halotel', 'mbona', 'kimya', 'siku', 'zinazidi']",habari asubuhi nyumba wako hii namba halotel mbona kimya siku zinazidi
trust,"Pole na changamoto zako, usikate tamaa.",pole na changamoto zako usikate tamaa,"['pole', 'na', 'changamoto', 'zako', 'usikate', 'tamaa']","['pole', 'changamoto', 'zako', 'usikate', 'tamaa']",pole changamoto zako usikate tamaa
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0733822240 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba na magari ya kifahari pia kuza biashara vipaji nyota na pete tupigie simu ukiwa tayari kujiunga,"['friimason', 'timiza', 'ndoto', 'kumiliki', 'pesa', 'majumba', 'na', 'magari', 'ya', 'kifahari', 'pia', 'kuza', 'biashara', 'vipaji', 'nyota', 'na', 'pete', 'tupigie', 'simu', 'ukiwa', 'tayari', 'kujiunga']","['friimason', 'timiza', 'ndoto', 'kumiliki', 'pesa', 'majumba', 'magari', 'kifahari', 'kuza', 'biashara', 'vipaji', 'nyota', 'pete', 'tupigie', 'simu', 'ukiwa', 'tayari', 'kujiunga']",friimason timiza ndoto kumiliki pesa majumba magari kifahari kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,"Habari za siku,mimi OLIVA MATIAS,hii namba yangu ya VODACOM.Vp mbona shem OLIVA MATIAS, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari za sikumimi oliva matiashii namba yangu ya vodacomvp mbona shem oliva matias anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu,"['habari', 'za', 'sikumimi', 'oliva', 'matiashii', 'namba', 'yangu', 'ya', 'vodacomvp', 'mbona', 'shem', 'oliva', 'matias', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'kwenye', 'namba', 'hii', 'kwa', 'meseji', 'simu', 'yangu', 'imekufa', 'maik', 'ndugu', 'yangu']","['habari', 'sikumimi', 'oliva', 'matiashii', 'namba', 'vodacomvp', 'mbona', 'shem', 'oliva', 'matias', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'namba', 'hii', 'meseji', 'simu', 'imekufa', 'maik', 'ndugu']",habari sikumimi oliva matiashii namba vodacomvp mbona shem oliva matias anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe namba hii meseji simu imekufa maik ndugu
scam,Iyo ela itume humu kwenye HALOTEL 0695567435 jina lije PEREGIA FILIPO.,iyo ela itume humu kwenye halotel jina lije peregia filipo,"['iyo', 'ela', 'itume', 'humu', 'kwenye', 'halotel', 'jina', 'lije', 'peregia', 'filipo']","['iyo', 'ela', 'itume', 'humu', 'halotel', 'jina', 'lije', 'peregia', 'filipo']",iyo ela itume humu halotel jina lije peregia filipo
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0657666983,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no,"['mjukuu', 'wangu', 'utafuta', 'ji', 'wako', 'mgumu', 'ela', 'hazikai', 'mkononi', 'pakazinaisha', 'unasota', 'sana', 'mpenzi', 'hamuelewani', 'je', 'utatunza', 'siri', 'nikikusaidia', 'pesa', 'bila', 'mashaliti', 'magumu', 'nipigie', 'nikwelekeze', 'no']","['mjukuu', 'wangu', 'utafuta', 'ji', 'wako', 'mgumu', 'ela', 'hazikai', 'mkononi', 'pakazinaisha', 'unasota', 'mpenzi', 'hamuelewani', 'je', 'utatunza', 'siri', 'nikikusaidia', 'pesa', 'mashaliti', 'magumu', 'nipigie', 'nikwelekeze', 'no']",mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota mpenzi hamuelewani je utatunza siri nikikusaidia pesa mashaliti magumu nipigie nikwelekeze no
scam,tuma kwenye namba hii ya m-pesa 0617488472 jina litakuja LUKA KIMBANGU Ukituma unijulishe,tuma kwenye namba hii ya mpesa jina litakuja luka kimbangu ukituma unijulishe,"['tuma', 'kwenye', 'namba', 'hii', 'ya', 'mpesa', 'jina', 'litakuja', 'luka', 'kimbangu', 'ukituma', 'unijulishe']","['tuma', 'namba', 'hii', 'mpesa', 'jina', 'litakuja', 'luka', 'kimbangu', 'ukituma', 'unijulishe']",tuma namba hii mpesa jina litakuja luka kimbangu ukituma unijulishe
trust,"Watoto wanaendelea vizuri shuleni, asante kwa msaada wako.",watoto wanaendelea vizuri shuleni asante kwa msaada wako,"['watoto', 'wanaendelea', 'vizuri', 'shuleni', 'asante', 'kwa', 'msaada', 'wako']","['watoto', 'wanaendelea', 'vizuri', 'shuleni', 'asante', 'msaada', 'wako']",watoto wanaendelea vizuri shuleni asante msaada wako
scam,MPIGIE MZEE KHADIJA SUMBAI WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0783582817,mpigie mzee khadija sumbai wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba,"['mpigie', 'mzee', 'khadija', 'sumbai', 'wa', 'tiba', 'asili', 'mali', 'pete', 'nyota', 'uzazi', 'kupandishwa', 'cheo', 'kazini', 'kuludisha', 'mali', 'iliyopotea', 'namba']","['mpigie', 'mzee', 'khadija', 'sumbai', 'tiba', 'asili', 'mali', 'pete', 'nyota', 'uzazi', 'kupandishwa', 'cheo', 'kazini', 'kuludisha', 'mali', 'iliyopotea', 'namba']",mpigie mzee khadija sumbai tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
scam,Samahani naomba itume kwenye AIRTEL 0733822240 ALLY ISSA.,samahani naomba itume kwenye airtel ally issa,"['samahani', 'naomba', 'itume', 'kwenye', 'airtel', 'ally', 'issa']","['samahani', 'naomba', 'itume', 'airtel', 'ally', 'issa']",samahani naomba itume airtel ally issa
scam,Utanitumia. kwemye namba 0696530433 ya airtel jina OLIVA MATIAS.,utanitumia kwemye namba ya airtel jina oliva matias,"['utanitumia', 'kwemye', 'namba', 'ya', 'airtel', 'jina', 'oliva', 'matias']","['utanitumia', 'kwemye', 'namba', 'airtel', 'jina', 'oliva', 'matias']",utanitumia kwemye namba airtel jina oliva matias
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0784862618 au 0784862618",karibu ujiunge na chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba na magari bila kafala piga au,"['karibu', 'ujiunge', 'na', 'chama', 'cha', 'freemason', 'ubadilishe', 'maisha', 'yakomiliki', 'malipesautajiri', 'majumba', 'na', 'magari', 'bila', 'kafala', 'piga', 'au']","['ujiunge', 'chama', 'freemason', 'ubadilishe', 'maisha', 'yakomiliki', 'malipesautajiri', 'majumba', 'magari', 'kafala', 'piga', 'au']",ujiunge chama freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari kafala piga au
scam,Iyo ela tuma humu kwenye halotel 0783582817 Jina lije JUMA SIKAREKO,iyo ela tuma humu kwenye halotel jina lije juma sikareko,"['iyo', 'ela', 'tuma', 'humu', 'kwenye', 'halotel', 'jina', 'lije', 'juma', 'sikareko']","['iyo', 'ela', 'tuma', 'humu', 'halotel', 'jina', 'lije', 'juma', 'sikareko']",iyo ela tuma humu halotel jina lije juma sikareko
trust,Hongera mtoto wa lamasimba dangote umestaili kupata tunzo,hongera mtoto wa lamasimba dangote umestaili kupata tunzo,"['hongera', 'mtoto', 'wa', 'lamasimba', 'dangote', 'umestaili', 'kupata', 'tunzo']","['hongera', 'mtoto', 'lamasimba', 'dangote', 'umestaili', 'kupata', 'tunzo']",hongera mtoto lamasimba dangote umestaili kupata tunzo
scam,Habari. Mimi  mwenye nyumba wako hii namba yangu ya HALOTEL. Mbona kimya na siku zinazidi kwenda...?,habari mimi mwenye nyumba wako hii namba yangu ya halotel mbona kimya na siku zinazidi kwenda,"['habari', 'mimi', 'mwenye', 'nyumba', 'wako', 'hii', 'namba', 'yangu', 'ya', 'halotel', 'mbona', 'kimya', 'na', 'siku', 'zinazidi', 'kwenda']","['habari', 'nyumba', 'wako', 'hii', 'namba', 'halotel', 'mbona', 'kimya', 'siku', 'zinazidi']",habari nyumba wako hii namba halotel mbona kimya siku zinazidi
trust,Nimefurahi kusikia habari za maendeleo yako.,nimefurahi kusikia habari za maendeleo yako,"['nimefurahi', 'kusikia', 'habari', 'za', 'maendeleo', 'yako']","['nimefurahi', 'kusikia', 'habari', 'maendeleo', 'yako']",nimefurahi kusikia habari maendeleo yako
trust,Yule beki wa Yanga anaonekana kuwa na future bright. Ameonyesha kiwango cha hali ya juu.,yule beki wa yanga anaonekana kuwa na future bright ameonyesha kiwango cha hali ya juu,"['yule', 'beki', 'wa', 'yanga', 'anaonekana', 'kuwa', 'na', 'future', 'bright', 'ameonyesha', 'kiwango', 'cha', 'hali', 'ya', 'juu']","['beki', 'yanga', 'anaonekana', 'future', 'bright', 'ameonyesha', 'kiwango', 'hali']",beki yanga anaonekana future bright ameonyesha kiwango hali
scam,Iyo Hela itume humu kwenye halotel 0615810764 jina lije OLIVA MATIAS.,iyo hela itume humu kwenye halotel jina lije oliva matias,"['iyo', 'hela', 'itume', 'humu', 'kwenye', 'halotel', 'jina', 'lije', 'oliva', 'matias']","['iyo', 'hela', 'itume', 'humu', 'halotel', 'jina', 'lije', 'oliva', 'matias']",iyo hela itume humu halotel jina lije oliva matias
scam,"Dear, No need to go out work, just at home to earn 170,000TZS a day, please contact us: https://wa.me/2550786543210",dear no need to go out work just at home to earn tzs a day please contact us,"['dear', 'no', 'need', 'to', 'go', 'out', 'work', 'just', 'at', 'home', 'to', 'earn', 'tzs', 'a', 'day', 'please', 'contact', 'us']","['dear', 'no', 'need', 'to', 'go', 'out', 'work', 'just', 'at', 'home', 'to', 'earn', 'tzs', 'a', 'day', 'please', 'contact', 'us']",dear no need to go out work just at home to earn tzs a day please contact us
scam,"Habari za mda huu,mimi Magomba Maila,hii namba yangu ya vodacom.Vp mbona shem Magomba Maila, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari za mda huumimi magomba mailahii namba yangu ya vodacomvp mbona shem magomba maila anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu,"['habari', 'za', 'mda', 'huumimi', 'magomba', 'mailahii', 'namba', 'yangu', 'ya', 'vodacomvp', 'mbona', 'shem', 'magomba', 'maila', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'kwenye', 'namba', 'hii', 'kwa', 'meseji', 'simu', 'yangu', 'imekufa', 'maik', 'ndugu', 'yangu']","['habari', 'mda', 'huumimi', 'magomba', 'mailahii', 'namba', 'vodacomvp', 'mbona', 'shem', 'magomba', 'maila', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'namba', 'hii', 'meseji', 'simu', 'imekufa', 'maik', 'ndugu']",habari mda huumimi magomba mailahii namba vodacomvp mbona shem magomba maila anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe namba hii meseji simu imekufa maik ndugu
scam,Utanitumia kwenye ii 0767274553 airtel jina HADIJA LAI namba yangu inadeni usiitumie,utanitumia kwenye ii airtel jina hadija lai namba yangu inadeni usiitumie,"['utanitumia', 'kwenye', 'ii', 'airtel', 'jina', 'hadija', 'lai', 'namba', 'yangu', 'inadeni', 'usiitumie']","['utanitumia', 'ii', 'airtel', 'jina', 'hadija', 'lai', 'namba', 'inadeni', 'usiitumie']",utanitumia ii airtel jina hadija lai namba inadeni usiitumie
scam,"Habari za siku,mimi SALOME KALUNGA,hii namba yangu ya AIRTEL.Vp mbona shem SALOME KALUNGA, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari za sikumimi salome kalungahii namba yangu ya airtelvp mbona shem salome kalunga anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu,"['habari', 'za', 'sikumimi', 'salome', 'kalungahii', 'namba', 'yangu', 'ya', 'airtelvp', 'mbona', 'shem', 'salome', 'kalunga', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'kwenye', 'namba', 'hii', 'kwa', 'meseji', 'simu', 'yangu', 'imekufa', 'maik', 'ndugu', 'yangu']","['habari', 'sikumimi', 'salome', 'kalungahii', 'namba', 'airtelvp', 'mbona', 'shem', 'salome', 'kalunga', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'namba', 'hii', 'meseji', 'simu', 'imekufa', 'maik', 'ndugu']",habari sikumimi salome kalungahii namba airtelvp mbona shem salome kalunga anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe namba hii meseji simu imekufa maik ndugu
scam,"Habari,mimi LINUSI MALALO,hii namba yangu ya Halotel.Vp mbona shem LINUSI MALALO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habarimimi linusi malalohii namba yangu ya halotelvp mbona shem linusi malalo anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu,"['habarimimi', 'linusi', 'malalohii', 'namba', 'yangu', 'ya', 'halotelvp', 'mbona', 'shem', 'linusi', 'malalo', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'kwenye', 'namba', 'hii', 'kwa', 'meseji', 'simu', 'yangu', 'imekufa', 'maik', 'ndugu', 'yangu']","['habarimimi', 'linusi', 'malalohii', 'namba', 'halotelvp', 'mbona', 'shem', 'linusi', 'malalo', 'anakupigia', 'hupatikan', 'tatizo', 'mtandao', 'nnbasi', 'mkiwasiliana', 'naomba', 'nijulishe', 'namba', 'hii', 'meseji', 'simu', 'imekufa', 'maik', 'ndugu']",habarimimi linusi malalohii namba halotelvp mbona shem linusi malalo anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe namba hii meseji simu imekufa maik ndugu
trust,"Mambo vipi? Mechi ya jana ilikuwa kali sana, uliona goli la mwisho?",mambo vipi mechi ya jana ilikuwa kali sana uliona goli la mwisho,"['mambo', 'vipi', 'mechi', 'ya', 'jana', 'ilikuwa', 'kali', 'sana', 'uliona', 'goli', 'la', 'mwisho']","['mambo', 'vipi', 'mechi', 'jana', 'kali', 'uliona', 'goli', 'mwisho']",mambo vipi mechi jana kali uliona goli mwisho
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA AIRTEL NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko ni mimi mwenye nyumba wako mna endereaje apo nyumbani iyo namba yangu mpya ya airtel nakumbushia kodi yangu mana naona kimya sana naomba tuwa siriane,"['habari', 'zauko', 'ni', 'mimi', 'mwenye', 'nyumba', 'wako', 'mna', 'endereaje', 'apo', 'nyumbani', 'iyo', 'namba', 'yangu', 'mpya', 'ya', 'airtel', 'nakumbushia', 'kodi', 'yangu', 'mana', 'naona', 'kimya', 'sana', 'naomba', 'tuwa', 'siriane']","['habari', 'zauko', 'nyumba', 'wako', 'mna', 'endereaje', 'apo', 'nyumbani', 'iyo', 'namba', 'mpya', 'airtel', 'nakumbushia', 'kodi', 'mana', 'naona', 'kimya', 'naomba', 'tuwa', 'siriane']",habari zauko nyumba wako mna endereaje apo nyumbani iyo namba mpya airtel nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0716484506",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala ya binadam utapewa mtajiongea na wakala wetu,"['habari', 'ewe', 'mtanzania', 'sasa', 'mlango', 'umefunguliwa', 'jiunge', 'namatajiri', 'bila', 'kutoa', 'kafala', 'ya', 'binadam', 'utapewa', 'mtajiongea', 'na', 'wakala', 'wetu']","['habari', 'ewe', 'mtanzania', 'mlango', 'umefunguliwa', 'jiunge', 'namatajiri', 'kutoa', 'kafala', 'binadam', 'utapewa', 'mtajiongea', 'wakala', 'wetu']",habari ewe mtanzania mlango umefunguliwa jiunge namatajiri kutoa kafala binadam utapewa mtajiongea wakala wetu
scam,Tumia namba hii ya Airtel 0786543210 kutuma hiyo ela jina Magomba Maila,tumia namba hii ya airtel kutuma hiyo ela jina magomba maila,"['tumia', 'namba', 'hii', 'ya', 'airtel', 'kutuma', 'hiyo', 'ela', 'jina', 'magomba', 'maila']","['tumia', 'namba', 'hii', 'airtel', 'kutuma', 'ela', 'jina', 'magomba', 'maila']",tumia namba hii airtel kutuma ela jina magomba maila
trust,Tafadhali nipatie maelezo kamili kuhusu safari ya kesho.,tafadhali nipatie maelezo kamili kuhusu safari ya kesho,"['tafadhali', 'nipatie', 'maelezo', 'kamili', 'kuhusu', 'safari', 'ya', 'kesho']","['nipatie', 'maelezo', 'kamili', 'kuhusu', 'safari', 'kesho']",nipatie maelezo kamili kuhusu safari kesho
trust,Watoto wanataka kuja kukuona wakati wa likizo.,watoto wanataka kuja kukuona wakati wa likizo,"['watoto', 'wanataka', 'kuja', 'kukuona', 'wakati', 'wa', 'likizo']","['watoto', 'wanataka', 'kuja', 'kukuona', 'likizo']",watoto wanataka kuja kukuona likizo
trust,Ule wimbo wa Alikiba uliotoka jana umevuka milioni moja views! Jamaa anajua kazi.,ule wimbo wa alikiba uliotoka jana umevuka milioni moja views jamaa anajua kazi,"['ule', 'wimbo', 'wa', 'alikiba', 'uliotoka', 'jana', 'umevuka', 'milioni', 'moja', 'views', 'jamaa', 'anajua', 'kazi']","['ule', 'wimbo', 'alikiba', 'uliotoka', 'jana', 'umevuka', 'milioni', 'views', 'jamaa', 'anajua', 'kazi']",ule wimbo alikiba uliotoka jana umevuka milioni views jamaa anajua kazi
trust,Nimepata taarifa kuwa kuna kikao kesho saa tano asubuhi.,nimepata taarifa kuwa kuna kikao kesho saa tano asubuhi,"['nimepata', 'taarifa', 'kuwa', 'kuna', 'kikao', 'kesho', 'saa', 'tano', 'asubuhi']","['nimepata', 'taarifa', 'kuna', 'kikao', 'kesho', 'saa', 'tano', 'asubuhi']",nimepata taarifa kuna kikao kesho saa tano asubuhi
scam,Samahani naomba itume kwenye TIGO 0789723456 LUKA KIMBANGU.,samahani naomba itume kwenye tigo luka kimbangu,"['samahani', 'naomba', 'itume', 'kwenye', 'tigo', 'luka', 'kimbangu']","['samahani', 'naomba', 'itume', 'tigo', 'luka', 'kimbangu']",samahani naomba itume tigo luka kimbangu
trust,"Kuna picha za zamani za Wema zimevuja, watu wanazizungumzia sana kwenye mitandao.",kuna picha za zamani za wema zimevuja watu wanazizungumzia sana kwenye mitandao,"['kuna', 'picha', 'za', 'zamani', 'za', 'wema', 'zimevuja', 'watu', 'wanazizungumzia', 'sana', 'kwenye', 'mitandao']","['kuna', 'picha', 'zamani', 'wema', 'zimevuja', 'wanazizungumzia', 'mitandao']",kuna picha zamani wema zimevuja wanazizungumzia mitandao
trust,Kuna drama mpya kati ya Rayvanny na Harmonize. Sijui nani yuko sahihi.,kuna drama mpya kati ya rayvanny na harmonize sijui nani yuko sahihi,"['kuna', 'drama', 'mpya', 'kati', 'ya', 'rayvanny', 'na', 'harmonize', 'sijui', 'nani', 'yuko', 'sahihi']","['kuna', 'drama', 'mpya', 'kati', 'rayvanny', 'harmonize', 'sijui', 'nani', 'yuko', 'sahihi']",kuna drama mpya kati rayvanny harmonize sijui nani yuko sahihi
trust,Yanga wana mashabiki wa kweli. Walijitokeza kwa wingi jana uwanjani.,yanga wana mashabiki wa kweli walijitokeza kwa wingi jana uwanjani,"['yanga', 'wana', 'mashabiki', 'wa', 'kweli', 'walijitokeza', 'kwa', 'wingi', 'jana', 'uwanjani']","['yanga', 'wana', 'mashabiki', 'kweli', 'walijitokeza', 'wingi', 'jana', 'uwanjani']",yanga wana mashabiki kweli walijitokeza wingi jana uwanjani
scam,Iyo Pesa itume humu kwenye airtel 0654321098 jina lije MWANAIDI KHAMISI.,iyo pesa itume humu kwenye airtel jina lije mwanaidi khamisi,"['iyo', 'pesa', 'itume', 'humu', 'kwenye', 'airtel', 'jina', 'lije', 'mwanaidi', 'khamisi']","['iyo', 'pesa', 'itume', 'humu', 'airtel', 'jina', 'lije', 'mwanaidi', 'khamisi']",iyo pesa itume humu airtel jina lije mwanaidi khamisi
scam,Utanitumia kwa hîi vodacom 0783582817 j'ina ni KHADIJA SUMBAI.,utanitumia kwa hi vodacom jina ni khadija sumbai,"['utanitumia', 'kwa', 'hi', 'vodacom', 'jina', 'ni', 'khadija', 'sumbai']","['utanitumia', 'hi', 'vodacom', 'jina', 'khadija', 'sumbai']",utanitumia hi vodacom jina khadija sumbai
